"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"6819"	"ITM2B"	-1.81628036842105	5.71748819047619	-4.82900923024957	6.08436182717206e-06	0.00027963625179501	3.71385047662736
"19027"	"SYNPO2"	-1.81423615789474	3.544323	-5.94989009987268	5.96786413497411e-08	1.63273157785842e-05	8.06488164870275
"12493"	"ZFP36"	-1.81395357894737	5.76049067857143	-4.23847083370452	5.74147086733743e-05	0.00102966883828183	1.61996028733613
"20745"	"MIR3936"	-1.81214873684211	3.18825667857143	-4.51810770716999	2.02213662870945e-05	0.000546786205465684	2.59128909121216
"12001"	"ATP8B1"	-1.80937426315789	4.31974801190476	-5.17305284862747	1.53948882886005e-06	0.000126043485659505	5.00301303864926
"28363"	"LGALS9"	-1.78922405263158	4.07680758333333	-4.45849746453384	2.53358805384921e-05	0.000632789126011507	2.38105880783771
"9275"	"HBA1"	-1.78762531578947	6.54229689285714	-4.63497786464072	1.29370826437695e-05	0.000421315248958603	3.00823530403446
"18784"	"UBE2K"	-1.77007589473684	3.59637973809524	-4.97762662201569	3.37907233957237e-06	0.000198635484185367	4.26501877586125
"13635"	"LOC105371312"	-1.76899973684211	3.87528076190476	-4.23679859064011	5.77677187951826e-05	0.00103121328625222	1.61426819625899
"14123"	"RNU4ATAC"	-1.76558347368421	4.48457025	-3.77993141265689	0.000292387164728956	0.00295192542097502	0.115134595057286
"21301"	"TOMM6"	-1.7607002631579	4.84455627380952	-3.30632402468362	0.00139165371982117	0.00862298702628136	-1.31020201640142
"736"	"TXNIP"	-1.75645857894737	3.36898088095238	-5.69960107993842	1.73466787557893e-07	3.17989714273578e-05	7.05821125476963
"20381"	"PP7080"	-1.7412997368421	5.24218722619048	-4.38231314268492	3.37184251990575e-05	0.00074308008208623	2.11483887365727
"6265"	"LIMA1"	-1.73826178947369	4.10748685714286	-5.48738199205864	4.2266747852492e-07	5.62084957954604e-05	6.21897562631228
"5442"	"RPL13AP20"	-1.73687278947369	6.03634461904762	-4.20442339801523	6.50289979623022e-05	0.00111295481215876	1.50434949962586
"372"	"YBX1"	-1.728964	5.32699976190476	-4.50653398348775	2.112893382994e-05	0.000559859122128419	2.55034093180501
"7909"	"LOC105370700"	1.72725289473684	3.86935822619048	6.01761813160138	4.45840280216553e-08	1.37358794247266e-05	8.34017602170751
"21104"	"H2BC5"	-1.72656915789474	4.27390602380952	-4.02268480388113	0.000125190319249652	0.00169638411676876	0.897501334207877
"11538"	"ATP5PD"	-1.72121789473684	4.97455133333333	-4.49277591807796	2.22591921571953e-05	0.000579332034107767	2.50174604118225
"11887"	"MIR4317"	1.71912168421053	2.43094661904762	4.57809931446164	1.60903004393671e-05	0.000477580434731398	2.80453593649433
"4278"	"RPS28"	-1.71823921052632	6.58162122619048	-3.71958990994152	0.000359240370953958	0.0033985001922087	-0.0740941477218806
"8495"	"THBS1"	-1.69680036842105	4.68822882142857	-4.05559726346048	0.000111324773196248	0.00157360968203251	1.00609492824078
"10439"	"WSB1"	-1.693025	4.58244184523809	-4.91388261485013	4.35321715932502e-06	0.000232386850811074	4.02751592218804
"9671"	"CDH1"	-1.689402	5.61848436904762	-4.98640455250184	3.26283283950234e-06	0.00019535365293536	4.29785118661719
"6084"	"A2M"	-1.68298347368421	3.72670353571429	-5.44279738205705	5.08732696782996e-07	6.395223086532e-05	6.04446361434443
"29000"	"HSPB1"	-1.68249294736842	5.45542552380952	-4.1974050466353	6.67152429361924e-05	0.00113055185224488	1.48059219190964
"4979"	"MIR3163"	1.68196705263158	5.19798408333333	4.25862314951644	5.33207672014956e-05	0.000980109286626012	1.68866800090539
"15626"	"CHMP4B"	-1.67705989473684	6.04782582142857	-4.90173355543619	4.56772510344958e-06	0.000236016530715217	3.9824355944076
"28249"	"PARP4"	-1.67438784210526	4.836243	-3.21914001741048	0.00182790108867838	0.0103875673682411	-1.55697661761148
"8409"	"SNHG14"	-1.67347315789474	4.6852699047619	-4.20834454573482	6.41048485724013e-05	0.00110364088679255	1.5176337473166
"13288"	"FCGBP"	-1.67313136842105	4.1292416547619	-4.76076065264383	7.94741272930302e-06	0.000317874439092018	3.46380556260953
"14356"	"SNORD70"	-1.66904921052632	5.0259509047619	-2.68184344354613	0.00881243008137049	0.0309236742068196	-2.96103445837558
"12223"	"CNN1"	-1.65833857894737	4.83080503571429	-6.33569623151675	1.11686655693756e-08	5.08645461485297e-06	9.64788199314169
"2584"	"MIR3916"	-1.65816557894737	5.08911813095238	-4.56259441371578	1.70718471680221e-05	0.000492626067263691	2.74926321153455
"9838"	"RPS2"	-1.65047473684211	8.46250932142857	-3.27524958068784	0.00153452056262343	0.00921059943138079	-1.39873824166005
"855"	"MIR92B"	1.64264073684211	4.7095748452381	6.39093322414298	8.76186381583508e-09	4.3285092311889e-06	9.87727917462316
"27876"	"LLPH"	-1.64259152631579	4.51091530952381	-4.10021090275048	9.48649878066257e-05	0.00140417751615543	1.15422745423981
"9120"	"NPTN"	-1.63495084210526	4.51786036904762	-5.10415442651505	2.03443217169742e-06	0.000149717876462087	4.74117377886958
"27934"	"SNORD81"	-1.63482921052631	3.93337577380952	-3.16349953869486	0.00216998813356874	0.0115988711038196	-1.71180074605446
"25724"	"CHMP5"	-1.62216310526316	4.46302805952381	-4.74248764344748	8.53386941360472e-06	0.000326426104722227	3.39719477433523
"1156"	"CD46"	-1.60009936842105	4.44630667857143	-4.22383556808523	6.05760743383617e-05	0.00105851968749414	1.57019226431619
"25464"	"VPS13B-DT"	-1.59878331578947	4.84379172619048	-5.20897933432645	1.33031535384487e-06	0.00011731422738056	5.14024095429748
"26303"	"MIR4476"	1.58419852631579	4.6216843452381	5.62998485733545	2.32672303441163e-07	3.78865901027909e-05	6.7813897905693
"28097"	"RPS27A"	-1.57802247368421	7.88895870238095	-4.99269443123664	3.18195043993435e-06	0.000192864490689631	4.32139614678962
"413"	"TSPAN1"	-1.57714505263158	3.28938266666667	-5.40114039180193	6.04567009863939e-07	7.13413548036608e-05	5.88200068937028
"11781"	"SMAD4"	-1.57543615789474	6.80694811904762	-4.19531422848004	6.72256764942625e-05	0.00113762140418107	1.47351963246568
"10724"	"CA4"	-1.57535363157895	4.04621504761905	-6.7965660138928	1.44742770229648e-09	1.24082868349516e-06	11.5798787538309
"27124"	"NDUFA1"	-1.57372889473684	3.43100353571429	-4.60075257525316	1.47539913389999e-05	0.000453638181534043	2.88548872431183
"13269"	"HNRNPL"	-1.56682115789474	5.56140388095238	-4.30055324832121	4.5685644260991e-05	0.000900946869604266	1.83228344125465
"3432"	"PSAP"	-1.54798026315789	5.93508503571429	-4.01982813579408	0.000126469011174584	0.00170657049477111	0.888103581706283
"8960"	"PPIP5K1"	-1.54470678947368	5.31311676190476	-4.26375009113083	5.23250258933353e-05	0.000972031567694739	1.70618079185108
"1794"	"GNG12"	-1.54141363157895	3.1930523452381	-5.33388843759823	7.97869081639622e-07	8.45654186274548e-05	5.62094591032
"21095"	"SLC17A4"	-1.54016031578947	2.91994004761905	-5.00841350743062	2.98827839951853e-06	0.0001877141174801	4.38030550231765
